"exam_date","first_name","last_name","email","date_of_birth","gpa","course_name","exam_name","building_name","room_name","capacity","has_projector","has_computers","is_accessible","grade","state"
"2023-12-23","Ava","Lopez","ava.lopez@jsuniversity.edu","2003-09-28","3.05","Physics","Final Exam","Main Building","Room 101","50","t","f","t","67.42","Florida"
"2023-12-23","Noah","Wright","noah.wright@jsuniversity.edu","2003-05-12","3.78","Physics","Final Exam","Engineering Building","Room 801","80","t","t","f","81.36","Illinois"
"2023-12-23","Isabella","Rodriguez","isabella.rodriguez@jsuniversity.edu","2003-08-02","3.25","Physics","Final Exam","Main Building","Room 101","50","t","f","t","96.79","Pennsylvania"
"2023-12-23","Mason","Sanchez","mason.sanchez@jsuniversity.edu","2003-07-19","3.68","Physics","Final Exam","Engineering Building","Room 801","80","t","t","f","75.02","Ohio"
"2023-12-23","Sophia","Gomez","sophia.gomez@jsuniversity.edu","2003-02-28","3.12","Physics","Final Exam","Engineering Building","Room 801","80","t","t","f","73.15","Michigan"
"2023-12-23","Liam","Ramirez","liam.ramirez@jsuniversity.edu","2003-11-08","3.21","Physics","Final Exam","Main Building","Room 101","50","t","f","t","50.84","Georgia"
"2023-11-15","Alice","Johnson","alice.johnson@jsuniversity.edu","2002-08-20","3.12","Physics","Quiz 1","Main Building","Room 101","50","t","f","t","36.00","New York"
"2023-11-15","Emma","Taylor","emma.taylor@jsuniversity.edu","2002-11-28","2.98","Physics","Quiz 1","Main Building","Room 101","50","t","f","t","9.73","Florida"
"2023-11-15","Olivia","Anderson","olivia.anderson@jsuniversity.edu","2002-10-05","3.15","Physics","Quiz 1","Main Building","Room A01","100","t","t","t","78.35","Pennsylvania"
"2023-11-15","William","Wilson","william.wilson@jsuniversity.edu","2002-09-17","3.33","Physics","Quiz 1","Main Building","Room A01","100","t","t","t","34.16","Ohio"
"2023-11-15","Sophia","Moore","sophia.moore@jsuniversity.edu","2002-04-19","3.75","Physics","Quiz 1","Main Building","Room A01","100","t","t","t","33.89","Michigan"
"2023-11-15","David","Jones","david.jones@jsuniversity.edu","2002-07-30","2.87","Physics","Quiz 1","Main Building","Room A01","100","t","t","t","53.46","Georgia"
"2023-11-15","Mia","Clark","mia.clark@jsuniversity.edu","2002-12-08","3.05","Physics","Quiz 1","Main Building","Room 101","50","t","f","t","40.65","North Carolina"
"2023-11-15","Ethan","White","ethan.white@jsuniversity.edu","2002-02-22","3.42","Physics","Quiz 1","Main Building","Room A01","100","t","t","t","57.89","California"
"2023-11-15","Ava","Garcia","ava.garcia@jsuniversity.edu","2002-01-15","2.98","Physics","Quiz 1","Main Building","Room A01","100","t","t","t","71.11","New York"
